State,Jan23,Feb23,Mar23,Apr23,May23,Jun23,Jul23,Aug23,Sep23,Nov23,Dec23
Andhra Pradesh,8.911913866188874,8.831499366341825,8.751402788095966,8.724260367958747,8.668114976183192,8.256818380457108,7.569505746624132,7.326426823406022,7.244884849014552,7.128982213870559,7.1298485775466505
Bihar,3.442489820359281,3.4548526946107785,3.4582005988023954,3.4779658682634733,3.4933538922155685,3.5103514970059884,3.471562275449102,3.226146107784431,3.2317694610778442,3.108607784431138,3.121417365269461
Gujarat,6.968033986892334,6.920616525510692,6.886847182125412,6.929500458357847,6.880093587094832,6.9078700726531395,6.807875545582662,6.717105641222106,6.042948814426643,6.029140613241752,6.03190581088292
Karnataka,9.329357392419618,9.130199165597865,8.826619786829419,8.410031990329191,8.01571801335633,7.981995488921322,7.655958014535698,6.971932540209043,6.5022599619654144,6.297454041543202,6.2280586145386465
Madhya Pradesh,4.617637373418532,4.570444560089407,4.556504602574711,4.499005263741608,4.448441778922853,4.412871853058856,4.3735550304136765,4.319907521946476,4.251486559116851,4.1518380439697316,4.102287210899442
Maharashtra,5.04400757676148,4.977761581454083,4.928297489223382,4.871135033167819,4.808931536320905,4.836981923343753,4.853977410025958,4.776335871912197,4.7887486651024656,4.624223810674503,4.565584977433411
Rajasthan,7.665723842786168,7.580536425795661,7.515400413202814,7.403811058094348,7.290534458163216,7.186593044419302,7.068244871857937,6.847886024890551,6.982197845442471,6.936242559889813,6.961508190270058
Tamil Nadu,12.362105249764612,12.436632567371555,12.578661220958342,12.596168918746978,11.69328447464183,9.848032928722294,9.760158536275034,9.683628521261165,9.644184034404663,9.58304577957605,9.55114894266738
Uttar Pradesh,5.85857833655706,5.667299323017408,5.667807865892972,5.6514849290780145,5.644288362346873,5.659587362991618,5.621949951644101,5.546729126370084,5.260254271437782,5.250940119277885,5.313185041908446
West Bengal,4.61179776408486,4.640902795897477,4.672799710976858,4.683691267085482,4.699754129618851,4.704525018565723,4.704513979487386,4.582434819260181,4.58188687955362,4.54002268028822,4.381760431929028
