State,Jan23,Feb23,Mar23,Apr23,May23,Jun23,Jul23,Aug23,Sep23,Nov23,Dec23
Andhra Pradesh,13.11032098064065,12.992954376611458,12.859824979242232,12.696240659004502,12.507074028754971,12.414931390114932,12.332160337368352,12.230599134728838,12.02533758685487,11.965600008740113,11.897233754315431
Bihar,5.414885628742515,5.1178041916167665,5.0259,4.959539520958084,4.870537724550898,4.825273053892216,4.794914970059881,4.756329940119761,4.695051497005988,4.621767664670659,4.602170658682635
Gujarat,30.714373281158068,30.431827821637224,30.398280131897604,30.287739269637555,30.009354604786076,29.85971787048312,29.733845964398594,29.637281595906252,29.43348748751488,28.83840901938785,28.64655821144663
Karnataka,10.912507186767503,10.793049105892411,10.661878436749076,10.127118069376262,9.991937552518685,9.84195155750151,9.79659752627777,9.827482198929724,9.710054103459969,9.6467235711232,9.551054796338065
Madhya Pradesh,14.845460982621974,14.727025090217289,14.665124512656014,14.513040770536698,14.45517544383494,14.340784186594094,14.17514097784451,14.040378955270993,13.862893607582519,13.610957454976665,13.513036504943823
Maharashtra,19.338858185162955,19.089187524846633,19.02130379539626,18.823910450786126,18.57596015184703,18.461302392292282,18.355491203317563,18.266937413767568,18.209476408365617,17.99746272030681,17.861403727579567
Rajasthan,12.70778567563579,12.667312705986522,12.620099365438536,12.482904963352846,12.28595110433371,12.122431009887354,12.016129666978207,12.84511781199272,13.848614048895666,13.689999508091887,13.537795759752077
Tamil Nadu,21.516300226480393,21.36362444970354,21.23125683894445,20.94005140341502,20.79142937119882,20.738406239662062,20.706860574598572,20.698805252309334,20.638578008499376,20.475294551746952,20.307148128355852
Uttar Pradesh,14.53715465828498,14.39884630883301,14.354341553836234,14.11472356544165,13.894648210831722,13.883845502901353,13.817302143778207,13.751765796260477,13.623582366215345,13.326338652482269,13.275355818826565
West Bengal,20.55482508078598,20.515210846396243,20.3543493968649,20.13091945487024,19.78635268851735,19.69227063805873,19.589134536258353,19.481287758665676,19.369555225498264,18.99382213034141,18.80365995624511
